,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,10833,12840,2007,2,172,10833,12840,2007,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
1,1,0,::,08:00:27:38:31:62,08:00:27,0,ff02::1:ff7f:abb3,33:33:ff:7f:ab:b3,33:33:ff,0,58,6,0,0,10209,10209,0,2,156,10209,10209,0,2,156,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
2,2,0,::,08:00:27:38:31:62,08:00:27,0,ff02::1:ff62:aec8,33:33:ff:62:ae:c8,33:33:ff,0,58,6,0,0,10210,10210,0,1,78,10210,10210,0,1,78,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
3,3,0,::,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,10210,10210,0,1,78,10210,10210,0,1,78,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
4,4,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::2,33:33:00:00:00:02,33:33:00,0,58,6,0,0,10210,18211,8001,4,296,10210,18211,8001,4,296,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
5,5,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff7f:abb3,33:33:ff:7f:ab:b3,33:33:ff,0,58,6,0,0,10210,15707,5497,3,258,10210,15707,5497,3,258,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
6,6,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffcc:1f02,33:33:ff:cc:1f:02,33:33:ff,0,58,6,0,0,17499,17499,0,1,86,17499,17499,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
7,7,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ff00:4f7,33:33:ff:00:04:f7,33:33:ff,0,58,6,0,0,13002,13002,0,1,86,13002,13002,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
8,8,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff2b:5398,33:33:ff:2b:53:98,33:33:ff,0,58,6,0,0,18538,18538,0,1,86,18538,18538,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
9,9,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff20:1e83,33:33:ff:20:1e:83,33:33:ff,0,58,6,0,0,11538,17536,5998,2,172,11538,17536,5998,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
10,10,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,11037,21042,10005,2,172,11037,21042,10005,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
11,11,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,11875,17710,5835,3,258,11875,17710,5835,3,258,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
12,12,0,0.0.0.0,d8:58:d7:00:0f:72,d8:58:d7,0,224.0.0.1,01:00:5e:00:00:01,01:00:5e,0,2,4,0,0,52553,52553,0,1,60,52553,52553,0,1,60,0,0,0,0,0,IGMP,Network,0,6,,,,,
13,13,0,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:1,33:33:ff:00:00:01,33:33:ff,0,58,6,0,0,14970,14970,0,1,86,14970,14970,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
14,14,0,fd2d:ab8c:225::1,d8:58:d7:00:0f:72,d8:58:d7,0,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,08:00:27:38:31:62,08:00:27,0,58,6,0,0,14970,14970,0,1,86,14970,14970,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
15,15,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,08:00:27:38:31:62,08:00:27,0,58,6,0,0,19976,19976,0,2,172,19976,19976,0,1,86,19976,19976,0,1,86,ICMPV6,Network,0,6,,,,,
16,16,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,58,6,0,0,10211,19713,9502,7,930,10211,19713,9502,5,758,15224,19713,4489,2,172,ICMPV6,Network,0,6,,,,,
17,17,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff62:aec8,33:33:ff:62:ae:c8,33:33:ff,0,58,6,0,0,10210,140216,130006,4,344,10210,140216,130006,4,344,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
18,18,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,10210,10710,500,2,172,10210,10710,500,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
19,19,0,fd2d:ab8c:225::2c6,08:00:27:52:f4:11,08:00:27,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,10210,10210,0,1,86,10210,10210,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
20,20,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,546,ff02::1:2,33:33:00:01:00:02,33:33:00,547,17,6,0,0,10830,11872,1042,3,496,10830,11872,1042,3,496,0,0,0,0,0,DHCPV6,Network,0,6,,,,,
21,21,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,547,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,546,17,6,0,0,10831,11873,1042,3,561,10831,11873,1042,3,561,0,0,0,0,0,DHCPV6,Network,0,6,,,,,
22,22,0,::,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,12212,12212,0,1,78,12212,12212,0,1,78,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
23,23,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffae:f4cb,33:33:ff:ae:f4:cb,33:33:ff,0,58,6,0,0,12502,138493,125991,3,258,12502,138493,125991,3,258,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
26,26,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,138055,138055,0,1,86,138055,138055,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
27,27,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff2b:5398,33:33:ff:2b:53:98,33:33:ff,0,58,6,0,0,139041,139041,0,1,86,139041,139041,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
28,28,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,144539,144539,0,1,86,144539,144539,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
29,29,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ff00:4f7,33:33:ff:00:04:f7,33:33:ff,0,58,6,0,0,138493,138493,0,1,86,138493,138493,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
